County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total,Date,,,,,,,,,
Mariposa,0,0,8,0,8,0,16,9/1/2020,,,,,,,,,
Mendocino,2,0,95,11,21,0,129,9/1/2020,,,,,,,,,
Merced,10,0,36,37,28,3,114,9/1/2020,,,,,,,,,
Modoc,0,0,4,0,0,0,4,9/1/2020,,,,,,,,,
Mono,0,0,19,0,12,0,31,9/1/2020,,,,,,,,,
Monterey,15,0,211,68,65,1,360,9/1/2020,,,,,,,,,
Napa,1,0,275,31,39,2,348,9/1/2020,,,,,,,,,
Nevada,0,0,46,7,35,0,88,9/1/2020,,,,,,,,,
Orange,8,0,2102,2325,413,38,4886,9/1/2020,,,,,,,,,
Placer,0,1,127,116,92,3,339,9/1/2020,,,,,,,,,
Plumas,0,0,5,0,0,0,5,9/1/2020,,,,,,,,,
Riverside,7,0,816,194,334,9,1360,9/1/2020,,,,,,,,,
Sacramento,83,6,688,802,179,7,1765,9/1/2020,,,,,,,,,
San Benito,0,0,10,10,22,0,42,9/1/2020,,,,,,,,,
San Bernardino,3,0,509,470,270,45,1297,9/1/2020,,,,,,,,,
San Diego,2,3,1799,4652,263,41,6760,9/1/2020,,,,,,,,,
San Francisco,55,3,633,628,49,16,1384,9/1/2020,,,,,,,,,
San Joaquin,0,0,84,166,66,10,326,9/1/2020,,,,,,,,,
San Luis Obispo,1,0,298,104,82,1,486,9/1/2020,,,,,,,,,
San Mateo,6,16,1397,2072,225,42,3758,9/1/2020,,,,,,,,,
Santa Barbara,11,0,241,167,39,3,461,9/1/2020,,,,,,,,,
Santa Clara,11,20,2824,11526,442,90,14913,9/1/2020,,,,,,,,,
Santa Cruz,2,0,113,89,58,0,262,9/1/2020,,,,,,,,,
Shasta,0,0,23,58,10,3,94,9/1/2020,,,,,,,,,
Sierra,0,0,1,0,0,0,1,9/1/2020,,,,,,,,,
Siskiyou,0,0,20,4,39,0,63,9/1/2020,,,,,,,,,
Solano,5,0,172,102,79,4,362,9/1/2020,,,,,,,,,
Sonoma,14,0,359,231,88,3,695,9/1/2020,,,,,,,,,
Stanislaus,0,0,51,41,40,13,145,9/1/2020,,,,,,,,,
Sutter,0,0,2,9,12,0,23,9/1/2020,,,,,,,,,
Tehama,0,0,5,4,23,0,32,9/1/2020,,,,,,,,,
Trinity,0,0,4,0,4,0,8,9/1/2020,,,,,,,,,
Tulare,0,0,47,12,16,10,85,9/1/2020,,,,,,,,,
Tuolumne,0,0,30,8,9,0,47,9/1/2020,,,,,,,,,
Ventura,6,0,395,326,122,19,868,9/1/2020,,,,,,,,,
Yolo,10,0,156,144,18,0,328,9/1/2020,,,,,,,,,
Yuba,0,0,9,7,0,0,16,9/1/2020,,,,,,,,,
