County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total,Date,,,,,,,,,
San Joaquin,0,0,80,149,67,10,306,6/1/2020,,,,,,,,,
San Luis Obispo,1,0,299,91,50,1,442,6/1/2020,,,,,,,,,
San Mateo,7,16,1465,1865,239,25,3617,6/1/2020,,,,,,,,,
Santa Barbara,11,0,240,146,39,1,437,6/1/2020,,,,,,,,,
Santa Clara,11,20,2770,10927,387,49,14164,6/1/2020,,,,,,,,,
Santa Cruz,2,0,113,78,57,0,250,6/1/2020,,,,,,,,,
Shasta,0,0,18,27,10,2,57,6/1/2020,,,,,,,,,
Sierra,0,0,1,0,0,0,1,6/1/2020,,,,,,,,,
Siskiyou,0,0,18,4,33,0,55,6/1/2020,,,,,,,,,
Solano,5,0,169,115,77,3,369,6/1/2020,,,,,,,,,
Sonoma,15,0,360,207,87,1,670,6/1/2020,,,,,,,,,
Stanislaus,5,0,56,17,31,13,122,6/1/2020,,,,,,,,,
Sutter,0,0,2,6,12,0,20,6/1/2020,,,,,,,,,
Tehama,0,0,5,4,23,0,32,6/1/2020,,,,,,,,,
Trinity,0,0,4,0,0,0,4,6/1/2020,,,,,,,,,
Tulare,0,0,45,6,15,10,76,6/1/2020,,,,,,,,,
Tuolumne,0,0,30,6,9,0,45,6/1/2020,,,,,,,,,
Ventura,6,0,392,234,109,8,749,6/1/2020,,,,,,,,,
Yolo,10,0,147,89,18,0,264,6/1/2020,,,,,,,,,
Yuba,0,0,9,5,0,0,14,6/1/2020,,,,,,,,,
