
2023,4.879
2022,5.406
2021,4.1
2020,3.132
2019,3.677
2018,3.551
2017,3.08
2016,2.782
2015,3.221
2014,3.794
2013,3.933
2012,4.081
2011,3.863
2010,3.138
2009,2.725
2008,3.561
2007,3.124
2006,2.855
2005,2.517
2004,2.166
2003,1.878
2002,1.561
2001,1.677
2000,1.768
